# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
| eval: edit WITH prior (memo) | 0.10 | 26.1 |
| eval: edit WITHOUT prior | 0.08 | 2.3 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 121.3 |
| land: gather + checks registry + A5 badge | 0.06 | 18.7 |
|   of which: product_recorded (the gather) | 0.05 | 16.0 |
|   of which: run_checks_on (advisory registry) | 0.00 | 198.9 |
| fit_delta: probe tessellation (open only) | 3884.68 | 9.5 |
| INDEX build total (tessellate + BVH + id map) | 1768.59 | 2.7 |
|   of which: mesh::tessellate (whole model) | 869.12 | 9.9 |
| scene: scene_focused (GPU vertex assembly) | 54.61 | 8.2 |
| == EDIT→PICTURE TOTAL == | 1823.37 | 0.0 |
# gallery_ring: landing = Landed
# gallery_ring: landing = Landed
# gallery_ring: landing = Landed

## gallery_ring — 4 nodes, δ = 3.888e-4 m, 995348 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.17 | 63.9 |
| eval: edit WITH prior (memo) | 0.10 | 16.2 |
| eval: edit WITHOUT prior | 0.09 | 1.8 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 131.2 |
| land: gather + checks registry + A5 badge | 0.13 | 21.8 |
|   of which: product_recorded (the gather) | 0.09 | 10.6 |
|   of which: run_checks_on (advisory registry) | 0.00 | 203.9 |
| fit_delta: probe tessellation (open only) | 349.77 | 0.7 |
